query_table,query_value,candidate_table,candidate_value
televisionstation_left,w33by,televisionstation_right,w33by-d
shoppingmall_left,"the summit (birmingham, alabama)",shoppingmall_right,the summit (birmingham)
footballleagueseason_left,2009 k-league,footballleagueseason_right,2009 k league
basketballteam_left,neckar riesen ludwigsburg,basketballteam_right,mhp riesen ludwigsburg
case_left,"joseph burstyn, inc v. wilson",case_right,"joseph burstyn, inc. v. wilson"
reptile_left,flinders ranges worm-lizard,reptile_right,flinders ranges worm-lizard
legislature_left,national assembly (niger),legislature_right,national assembly of niger
song_left,the giant (song),song_right,the giant
motorsportseason_left,2009 nascar corona series season,motorsportseason_right,2009 nascar corona series
soccertournament_left,1957 uefa european under-18 football championship,soccertournament_right,1957 uefa european under-18 championship
historicbuilding_left,"st. paul's church, auckland",historicbuilding_right,"st paul's church, auckland"
election_left,"turkish presidential election, 2014",election_right,"turkish presidential election, 2012"
device_left,47 mm anti-tank gun model 1931,device_right,47 mm model 1931 anti-tank gun
reptile_left,wright's skink,reptile_right,wright's skink
case_left,houston e. & w. t. ry. co. v. united states,case_right,houston east & west texas railway co. v. united states
soccerclubseason_left,2010 derry gaelic football season,soccerclubseason_right,derry football season 2010
motorsportseason_left,2008 fia gt championship season,motorsportseason_right,2008 fia gt championship
monarch_left,khosrau iv,monarch_right,khosrow iv
motorsportseason_left,1987 world rally championship season,motorsportseason_right,1987 world rally championship
artwork_left,walking on a mountain path in spring,artwork_right,walking on a mountain path in spring
hospital_left,hospital sultan haji ahmad shah,hospital_right,sultan haji ahmad shah hospital
amphibian_left,baw baw frog,amphibian_right,baw baw frog
legislature_left,national assembly (suriname),legislature_right,national assembly of suriname
clericaladministrativeregion_left,diocese of fredericton,clericaladministrativeregion_right,anglican diocese of fredericton
motorsportseason_left,1999 world rally championship season,motorsportseason_right,1999 world rally championship
rugbyleague_left,paris sevens,rugbyleague_right,france sevens
election_left,"english general election, 1679 (march)",election_right,"english general election, march 1679"
artificialsatellite_left,a-102 (spacecraft),artificialsatellite_right,as-102 (spacecraft)
rugbyleague_left,nations cup (women's rugby union),rugbyleague_right,women's nations cup (rugby union)
tennistournament_left,2012 men's rimouski challenger,tennistournament_right,2012 challenger banque nationale de rimouski
governmentagency_left,national bureau of statistics of the people's republic of china,governmentagency_right,national bureau of statistics of china
motorsportseason_left,1999 euro open by nissan season,motorsportseason_right,1999 euro open by nissan
monarch_left,abu yusuf yaqub al-mansur,monarch_right,yaqub al-mansur
soccerclubseason_left,2003 australia national football team season,soccerclubseason_right,2003 australia national soccer team season
venue_left,"manor ground, plumstead",venue_right,manor ground (plumstead)
christianbishop_left,george edward haynsworth,christianbishop_right,g. edward haynsworth
election_left,"agriculture commissioner of florida general election, 1994",election_right,"florida commissioner of agriculture election, 1994"
amphibian_left,eastern sign-bearing froglet,amphibian_right,eastern sign-bearing froglet
governmentagency_left,singapore sports council,governmentagency_right,sport singapore
legislature_left,council of states (switzerland),legislature_right,council of states of switzerland
election_left,"indian general election in gujarat, 2009",election_right,"indian general election, 2009 (gujarat)"
device_left,ots-12 assault rifle,device_right,oc-12 assault rifle
ncaateamseason_left,2011 fiu panthers football team,ncaateamseason_right,2011 fiu golden panthers football team
stadium_left,schaumburg baseball stadium,stadium_right,schaumburg boomers stadium
memberofparliament_left,david thomson (politician born 1856),memberofparliament_right,david thomson (labor party politician)
hospital_left,lankenau medical center,hospital_right,lankenau hospital
case_left,communist party v. subversive activities control board,case_right,communist party of the united states v. subversive activities control board
monarch_left,artabanus v (of parthia),monarch_right,artabanus v of parthia
unitofwork_left,edmonson v. leesville concrete company,unitofwork_right,edmonson v. leesville concrete co.
memberofparliament_left,bill morrison (australian politician),memberofparliament_right,bill morrison (politician)
soccertournament_left,1992 uefa european under-18 football championship,soccertournament_right,1992 uefa european under-18 championship
tournament_left,2010 south american under 17 women championship,tournament_right,2010 south american under-17 women's championship
ethnicgroup_left,palestinian people,ethnicgroup_right,palestinians
artificialsatellite_left,eutelsat 33a,artificialsatellite_right,eutelsat 31a
historicbuilding_left,sacred heart church (wimbledon),historicbuilding_right,"sacred heart church, wimbledon"
country_left,kazikumukh shamkhalate,country_right,gazikumukh shamkhalate
shoppingmall_left,acadiana mall,shoppingmall_right,mall of acadiana
noble_left,"gilbert de clare, 1st earl of pembroke",noble_right,"gilbert de clare, 1st earl of pembroke (1st creation)"
country_left,free imperial city of kempten,country_right,kempten (imperial free city)
soccertournament_left,2000 uefa european under-16 football championship,soccertournament_right,2000 uefa european under-16 championship
election_left,"indian general election in national capital territory of delhi, 2009",election_right,"indian general election, 2009 (delhi)"
unitofwork_left,ex parte bain,unitofwork_right,ex parte bain
case_left,illinois central railroad v. illinois,case_right,illinois central railroad co. v. illinois
basketballteam_left,societa veroli basket,basketballteam_right,veroli basket
sportsleague_left,somalia league,sportsleague_right,somali league
noble_left,"hugh iii, count of burgundy",noble_right,"hugh, count of burgundy"
song_left,top of the world (the pussycat dolls song),song_right,top of the world (pussycat dolls song)
memberofparliament_left,fred daly (australian politician),memberofparliament_right,fred daly (politician)
reptile_left,northern bahamian rock iguana,reptile_right,northern bahamian rock iguana
stadium_left,city stadium (podujevo),stadium_right,podujevo city stadium
unitofwork_left,southern pacific company v. jensen,unitofwork_right,southern pacific co. v. jensen
museum_left,david collection,museum_right,the david collection
wrestler_left,michael smith (wrestler),wrestler_right,sam houston (wrestler)
ethnicgroup_left,albanian australian,ethnicgroup_right,albanian australians
givenname_left,coralie (given name),givenname_right,coralie
soccerleague_left,swedish football division 1,soccerleague_right,swedish football division 1
ethnicgroup_left,greek american,ethnicgroup_right,greek americans
historicbuilding_left,"st conan's church, egloshayle",historicbuilding_right,"church of st conan, egloshayle"
election_left,"scottish parliament general election, 2011",election_right,"scottish parliament election, 2011"
sportsleague_left,kenyan provincial league,sportsleague_right,kenyan regional leagues
legislature_left,odisha legislative assembly,legislature_right,orissa legislative assembly
clericaladministrativeregion_left,anglican diocese of new westminster,clericaladministrativeregion_right,diocese of new westminster
unitofwork_left,sakraida v. ag pro,unitofwork_right,sakraida v. ag pro inc.
soccerleague_left,kent football league,soccerleague_right,kent league
sportfacility_left,red lodge mountain resort,sportfacility_right,red lodge mountain
unitofwork_left,illinois central railroad v. illinois,unitofwork_right,illinois central railroad co. v. illinois
monarch_left,yatala tissa of ruhuna,monarch_right,"yatala tissa, prince of ruhuna"
case_left,united states v. trans-missouri freight association,case_right,united states v. trans-missouri freight ass'n
device_left,ipad (3rd generation),device_right,ipad (third generation)
shoppingmall_left,st. david's (cardiff),shoppingmall_right,"st david's, cardiff"
sportsleague_left,ehf women's champions league,sportsleague_right,women's ehf champions league
wrestler_left,"blue demon, jr.",wrestler_right,blue demon jr.
stadium_left,goyang korea national baseball team training stadium,stadium_right,"south korea national baseball team training stadium, goyang"
amphibian_left,white-footed frog,amphibian_right,white-footed frog
givenname_left,hamad (name),givenname_right,hamad
ethnicgroup_left,cornish australian,ethnicgroup_right,cornish australians
soccerleague_left,guam men's soccer league,soccerleague_right,guam soccer league
basketballteam_left,galatasaray sk (wheelchair basketball),basketballteam_right,galatasaray wheelchair basketball team
galaxy_left,ngc 17,galaxy_right,ngc 34
governmentagency_left,european network and information security agency,governmentagency_right,european union agency for network and information security
legislature_left,national council (slovakia),legislature_right,national council of the slovak republic
